country_name,country_code,region,income_group,indicator_name,indicator_code,year,gdp_per_capita,gdp_variation
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1980,767.149038095441,0.764606239404245
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1981,1006.23632701273,-3.73878842765978
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1982,907.760291328424,-4.19496420225256
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1983,791.245195488633,-5.42169250062969
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1984,687.008418655208,-0.644543559243743
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1985,637.157814543258,-0.930622267437613
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1986,580.060343793572,-0.996678033885274
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1987,631.002954809107,0.0191706816058002
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1988,645.484689756984,1.4969759445588
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1989,638.66748933315,-0.520402910326951
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1990,727.606217404228,-0.456114677424878
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1991,756.831628273054,-2.32918103690041
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1992,663.477496474766,-3.08347545320858
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1993,652.646210291009,-3.57417165298001
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1994,650.243731698297,-1.65639387963319
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1995,805.66382510416,0.600267896974955
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1996,876.072826252737,2.34849761456111
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1997,897.895191683272,1.37261708621995
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1998,876.31117153697,-0.19178953880629
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1999,609.214349454611,-0.494150913173613
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2000,628.872470754492,0.764921629650757
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2001,586.603926531548,1.43318625878813
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2002,621.725431714769,3.53129562359993
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2003,761.999255064834,1.28467535237371
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2004,920.705390675994,3.7440816576274
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2005,1063.08564448322,3.15835480937514
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2006,1220.10724440216,3.19347427258481
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2007,1374.20119218667,3.29047233090185
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2008,1515.16372226529,2.32002561490015
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2009,1407.94722872905,0.369087671370067
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2010,1620.2261656163,3.11484044508241
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2011,1771.91673814938,1.59170086089404
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2012,1791.52362904208,0.491557956440573
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2013,1852.62697522306,2.32325583211966
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2014,1879.95713710403,2.06711640902884
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2015,1628.91285742916,0.134959614399094
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2016,1446.87390976779,-1.39701025270695
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2017,1536.48268492506,-0.162242498804304
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2018,1606.1313576289,0.058351990971218
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2019,1611.67363549653,0.0265165094526196
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2020,1474.05531054261,-4.49971632940976
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2021,1613.8768603775,1.71649369350678
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2022,1688.40108402158,1.11637074160393
AFRICA AL SUR DEL SAHARA,SSF,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,2023,1622.80705094435,
AFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),TSS,,AGREGADOS,PIB PER CAPITA (US$ A PRECIOS ACTUALES),NY.GDP.PCAP.CD,1960,158.100147137028,0.0
